,Player,Pos,Age,Tm,G,MP,PER,TS,Ar3P,FTr,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP,Season,PlayerID
383,Austin Rivers,SG,28,NYK,21,442,9.7,0.545,0.57,0.10400000000000001,1.2,9.8,5.6,14.0,1.4,0.0,13.5,16.3,0.1,0.5,0.6,0.06,-2.3,-0.7,-3.0,-0.1,2021,riverau01
384,Duncan Robinson,SF,26,MIA,27,891,9.0,0.61,0.862,0.158,0.1,12.1,6.4,7.2,0.5,0.8,12.3,15.9,0.3,0.6,0.9,0.048,-1.1,-1.5,-2.7,-0.2,2021,robindu01
385,Glenn Robinson III,SF,27,SAC,22,346,9.2,0.5670000000000001,0.462,0.247,2.2,9.3,5.7,7.6,0.4,0.7,8.8,13.9,0.3,-0.1,0.2,0.03,-1.6,-2.8,-4.4,-0.2,2021,robingl02
386,Jerome Robinson,SG,23,WAS,13,221,6.1,0.456,0.46299999999999997,0.254,0.9,15.2,7.8,10.9,1.3,0.8,12.9,16.0,-0.2,0.1,-0.1,-0.02,-5.3,-1.7,-7.1,-0.3,2021,robinje01
387,Mitchell Robinson,C,22,NYK,27,778,17.6,0.647,0.0,0.295,13.4,17.1,15.2,2.7,2.1,5.2,11.1,11.3,1.5,1.5,3.0,0.185,-0.4,1.2,0.8,0.6,2021,robinmi01
388,Isaiah Roby,PF,22,OKC,20,398,16.0,0.606,0.254,0.295,8.5,16.6,12.5,10.7,1.5,2.8,12.7,17.1,0.6,0.5,1.1,0.135,-1.2,0.3,-0.9,0.1,2021,robyis01
389,Rajon Rondo,PG,34,ATL,14,214,8.9,0.42100000000000004,0.473,0.036000000000000004,2.0,13.9,8.0,34.7,2.0,0.4,25.4,14.9,-0.2,0.2,0.0,0.006999999999999999,-3.2,-0.3,-3.5,-0.1,2021,rondora01
390,Derrick Rose,PG,32,TOT,19,428,18.2,0.528,0.21,0.272,1.5,8.2,4.8,32.6,2.7,1.6,12.6,29.1,0.2,0.4,0.7,0.07400000000000001,1.3,-0.3,1.0,0.3,2021,rosede01
391,Terrence Ross,SG,29,ORL,27,776,11.7,0.516,0.43,0.19399999999999998,1.0,10.6,5.6,11.6,1.6,1.5,10.8,23.8,-0.3,0.6,0.3,0.021,-1.8,-1.3,-3.1,-0.2,2021,rosste01
392,Terry Rozier,SG,26,CHO,26,867,18.4,0.625,0.505,0.184,1.8,11.4,6.5,14.6,1.8,1.4,9.5,23.2,1.6,0.8,2.4,0.133,3.2,-0.6,2.6,1.0,2021,roziete01
393,Ricky Rubio,PG,30,MIN,25,614,10.3,0.45899999999999996,0.314,0.282,1.5,13.7,7.3,33.8,2.5,0.0,23.2,15.7,-0.2,0.5,0.3,0.025,-4.6,-0.6,-5.1,-0.5,2021,rubiori01
394,D'Angelo Russell,PG,24,MIN,20,583,16.5,0.544,0.45399999999999996,0.196,1.6,8.3,4.8,28.9,1.8,1.4,13.2,29.5,0.2,0.3,0.5,0.043,2.3,-1.8,0.4,0.4,2021,russeda01
395,Domantas Sabonis,PF,24,IND,28,1010,20.1,0.59,0.185,0.369,8.5,26.2,17.5,23.8,1.2,1.5,16.0,25.5,1.6,1.3,3.0,0.14,2.4,0.6,3.0,1.3,2021,sabondo01
396,Luka Šamanić,PF,21,SAS,4,11,9.9,0.509,0.5,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,-0.004,2.9,-5.9,-3.0,0.0,2021,samanlu01
397,JaKarr Sampson,PF,27,IND,13,78,12.1,0.51,0.12,0.4,10.0,26.5,18.4,0.0,0.6,3.3,9.3,18.0,0.0,0.1,0.1,0.073,-3.6,-1.8,-5.4,-0.1,2021,sampsja02
398,Dario Šarić,PF,26,PHO,9,167,16.1,0.573,0.45299999999999996,0.267,4.7,20.6,12.9,10.2,2.4,1.1,14.3,26.2,0.0,0.3,0.3,0.095,-1.0,0.3,-0.7,0.1,2021,saricda01
399,Tomáš Satoranský,SG,29,CHI,15,293,15.4,0.6509999999999999,0.364,0.318,1.5,13.4,7.6,32.8,1.6,0.9,23.4,14.2,0.6,0.3,0.9,0.14300000000000002,0.4,0.7,1.1,0.2,2021,satorto01
400,Dennis Schröder,SG,27,LAL,28,869,12.2,0.535,0.28,0.324,2.3,10.8,6.7,19.8,1.3,0.4,14.2,21.1,0.5,1.3,1.7,0.095,-1.8,-0.4,-2.3,-0.1,2021,schrode01
401,Mike Scott,PF,32,PHI,10,182,4.2,0.466,0.809,0.064,2.5,12.3,7.5,0.7,0.8,1.0,9.4,12.4,-0.1,0.1,0.0,0.003,-4.6,-1.9,-6.5,-0.2,2021,scottmi01
402,Collin Sexton,SG,22,CLE,24,847,17.3,0.574,0.20600000000000002,0.319,2.3,5.8,4.0,21.1,1.5,0.4,11.0,27.1,1.2,0.3,1.5,0.085,1.6,-1.5,0.1,0.4,2021,sextoco01
403,Landry Shamet,SG,23,BRK,25,466,8.8,0.534,0.732,0.21600000000000003,1.3,7.5,4.5,9.1,1.2,0.5,10.2,17.2,0.1,0.2,0.3,0.03,-2.6,-1.6,-4.2,-0.3,2021,shamela01
404,Pascal Siakam,PF,26,TOR,24,856,17.7,0.546,0.242,0.307,6.2,17.5,11.7,20.1,1.6,1.8,10.7,25.2,1.2,0.8,2.0,0.113,0.5,-0.7,-0.2,0.4,2021,siakapa01
405,Chris Silva,PF,24,MIA,6,53,16.2,0.805,0.111,1.3330000000000002,15.7,22.1,19.1,16.8,0.9,3.9,35.9,18.7,0.1,0.1,0.2,0.17300000000000001,-3.2,1.1,-2.0,0.0,2021,silvach01
406,Ben Simmons,PG,24,PHI,25,835,20.0,0.599,0.023,0.508,5.4,21.3,13.6,34.9,2.4,2.1,20.9,20.4,1.5,1.3,2.8,0.163,1.6,2.6,4.2,1.3,2021,simmobe01
407,Anfernee Simons,SG,21,POR,23,404,12.6,0.57,0.7,0.11800000000000001,1.3,13.5,7.1,9.9,0.6,1.2,9.1,20.8,0.4,0.1,0.5,0.06,0.6,-2.3,-1.7,0.0,2021,simonan01
408,Deividas Sirvydis,SG,20,DET,4,5,-9.8,0.0,1.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,17.3,0.0,0.0,0.0,-0.344,-13.5,-7.9,-21.4,0.0,2021,sirvyde01
409,Marcus Smart,PG,26,BOS,17,549,14.7,0.516,0.479,0.33,1.4,8.3,4.7,26.4,2.8,1.5,12.2,19.1,0.6,0.6,1.2,0.106,0.0,0.2,0.3,0.3,2021,smartma01
410,Dennis Smith Jr.,PG,23,TOT,6,69,7.2,0.39299999999999996,0.33299999999999996,0.375,3.1,9.8,6.4,21.2,2.2,1.3,15.2,20.8,-0.1,0.1,-0.1,-0.045,-6.1,-0.5,-6.5,-0.1,2021,smithde03
411,Ish Smith,PG,32,WAS,19,391,10.6,0.40399999999999997,0.172,0.129,2.6,15.6,8.8,31.2,1.8,0.9,13.4,15.0,-0.1,0.3,0.2,0.018000000000000002,-2.2,-0.3,-2.5,0.0,2021,smithis01
412,Jalen Smith,PF,20,PHO,8,50,7.7,0.391,0.41200000000000003,0.11800000000000001,11.3,10.8,11.0,5.5,0.0,3.5,5.3,16.9,0.0,0.1,0.0,0.005,-2.0,-1.9,-3.9,0.0,2021,smithja04
413,Tony Snell,SG,29,ATL,14,176,8.0,0.595,0.73,0.0,3.7,10.3,7.0,10.9,0.3,1.0,14.0,10.4,0.2,0.1,0.2,0.061,-1.2,-0.5,-1.8,0.0,2021,snellto01
414,Ray Spalding,F,23,HOU,2,19,0.9,0.41,0.25,0.5,11.1,11.2,11.1,0.0,0.0,9.0,38.1,17.7,-0.1,0.0,-0.1,-0.152,-8.9,-1.4,-10.4,0.0,2021,spaldra01
415,Cassius Stanley,SG,21,IND,8,23,6.9,0.489,0.28600000000000003,0.7140000000000001,9.7,4.7,7.2,0.0,0.0,7.5,9.8,19.3,0.0,0.0,0.0,0.042,-6.3,-1.6,-7.9,0.0,2021,stanlca01
416,Lamar Stevens,PF,23,CLE,18,265,9.3,0.461,0.195,0.35100000000000003,2.8,16.9,9.6,10.3,1.5,1.7,8.3,15.7,-0.1,0.2,0.1,0.023,-4.1,-0.2,-4.3,-0.2,2021,stevela01
417,Isaiah Stewart,C,19,DET,25,451,14.6,0.57,0.038,0.28300000000000003,15.0,18.4,16.7,5.4,1.3,4.9,13.7,13.2,0.6,0.5,1.1,0.122,-2.5,-0.1,-2.7,-0.1,2021,stewais01
418,Max Strus,SF,24,MIA,16,235,13.8,0.6990000000000001,0.81,0.114,0.5,7.3,4.1,5.5,0.4,0.0,3.5,16.3,0.5,0.1,0.6,0.122,2.0,-1.3,0.7,0.2,2021,strusma01
419,Edmond Sumner,SG,25,IND,16,150,11.4,0.5720000000000001,0.33299999999999996,0.292,4.5,10.9,7.7,7.5,2.6,0.6,15.6,18.6,0.0,0.2,0.2,0.053,-3.4,0.3,-3.1,0.0,2021,sumneed01
420,Jae'Sean Tate,SF,25,HOU,27,730,12.9,0.61,0.285,0.207,6.2,13.6,9.8,9.4,1.4,2.0,13.2,14.2,0.9,0.9,1.8,0.11900000000000001,-1.9,0.6,-1.3,0.1,2021,tateja01
421,Jayson Tatum,SF,22,BOS,21,742,21.1,0.5579999999999999,0.33,0.21600000000000003,1.7,21.0,11.1,21.9,1.7,1.1,9.2,30.6,1.2,0.9,2.1,0.136,4.5,-0.1,4.4,1.2,2021,tatumja01
422,Jeff Teague,PG,32,BOS,23,388,9.0,0.45,0.289,0.23399999999999999,1.7,8.5,5.0,16.1,2.6,0.7,13.5,18.0,-0.3,0.4,0.1,0.018000000000000002,-3.7,-0.1,-3.7,-0.2,2021,teaguje01
423,Garrett Temple,SG,34,CHI,25,681,9.7,0.545,0.5710000000000001,0.141,2.2,10.3,6.3,9.9,1.9,1.4,11.4,14.3,0.2,0.6,0.9,0.062,-2.7,0.1,-2.6,-0.1,2021,templga01
424,Tyrell Terry,PG,20,DAL,11,56,6.0,0.318,0.43799999999999994,0.188,0.0,11.8,5.9,14.2,4.3,0.0,10.4,15.1,-0.1,0.1,-0.1,-0.067,-7.7,2.2,-5.5,-0.1,2021,terryty01
425,Daniel Theis,C,28,BOS,26,623,15.5,0.653,0.345,0.244,5.9,18.1,11.8,8.3,1.2,3.9,12.7,14.6,1.1,0.7,1.9,0.145,-0.2,0.7,0.5,0.4,2021,theisda01
426,Brodric Thomas,SG,24,HOU,4,24,7.4,0.496,0.857,1.0,4.4,13.3,8.8,22.7,2.0,3.6,28.4,25.0,-0.1,0.0,0.0,-0.031,-6.9,-0.5,-7.3,0.0,2021,thomabr01
427,Matt Thomas,SG,26,TOR,13,78,11.7,0.608,0.741,0.14800000000000002,1.4,10.3,5.7,11.1,1.2,0.0,12.2,17.9,0.1,0.0,0.1,0.076,-0.5,-1.7,-2.1,0.0,2021,thomama02
428,Tristan Thompson,PF,29,BOS,24,531,12.9,0.509,0.006999999999999999,0.358,13.8,27.6,20.5,5.5,0.6,1.6,11.9,14.2,0.5,0.6,1.1,0.095,-1.8,-1.8,-3.6,-0.2,2021,thomptr01
429,Sindarius Thornwell,SG,26,NOP,9,48,6.7,0.42100000000000004,0.455,0.182,2.3,4.6,3.4,5.3,4.1,0.0,7.8,11.4,0.0,0.0,0.0,0.005,-5.4,1.6,-3.8,0.0,2021,thornsi01
430,Matisse Thybulle,SG,23,PHI,25,430,8.7,0.46399999999999997,0.63,0.14800000000000002,1.8,6.4,4.2,5.3,4.1,4.3,8.5,9.3,-0.1,0.8,0.7,0.076,-3.4,4.0,0.6,0.3,2021,thybuma01
431,Xavier Tillman Sr.,PF,22,MEM,17,364,15.7,0.589,0.198,0.14400000000000002,7.3,17.0,12.0,10.7,2.1,3.0,8.5,15.1,0.6,0.5,1.1,0.142,-1.2,0.8,-0.4,0.1,2021,tillmxa01
432,Obi Toppin,PF,22,NYK,19,228,12.6,0.556,0.43200000000000005,0.12300000000000001,2.4,19.4,11.1,6.2,0.7,3.5,10.5,18.5,0.0,0.3,0.4,0.079,-1.6,0.2,-1.4,0.0,2021,toppiob01
433,Juan Toscano-Anderson,SG,27,GSW,15,328,12.2,0.642,0.35100000000000003,0.18899999999999997,3.9,19.3,11.8,12.4,1.1,2.7,17.5,12.5,0.3,0.5,0.8,0.114,-1.8,0.6,-1.3,0.1,2021,toscaju01
434,Karl-Anthony Towns,C,25,MIN,7,228,24.4,0.626,0.318,0.29,10.3,27.5,18.5,18.2,1.2,5.4,14.8,26.1,0.5,0.3,0.8,0.16899999999999998,3.7,1.3,4.9,0.4,2021,townska01
435,Gary Trent Jr.,SG,22,POR,24,713,13.6,0.5770000000000001,0.5760000000000001,0.11199999999999999,1.9,6.1,3.9,6.5,1.1,0.5,4.9,19.5,1.1,0.1,1.1,0.076,0.9,-2.4,-1.4,0.1,2021,trentga02
436,P.J. Tucker,PF,35,HOU,26,780,5.6,0.511,0.652,0.152,3.5,12.8,8.1,6.1,1.3,1.5,18.4,8.0,-0.1,0.9,0.8,0.051,-4.9,0.4,-4.5,-0.5,2021,tuckepj01
437,Myles Turner,C,24,IND,26,812,17.4,0.618,0.48,0.337,4.5,19.1,11.9,4.6,1.7,9.6,11.3,17.0,0.9,1.5,2.4,0.14400000000000002,-0.5,2.3,1.7,0.8,2021,turnemy01
438,Jonas Valančiūnas,C,28,MEM,17,466,22.4,0.64,0.106,0.376,12.4,32.4,22.1,12.0,1.2,2.7,15.0,23.6,1.0,0.7,1.7,0.177,1.5,0.1,1.6,0.4,2021,valanjo01
439,Denzel Valentine,SG,27,CHI,22,436,12.7,0.534,0.599,0.034,2.1,18.5,10.4,12.3,1.8,0.2,6.7,18.7,0.3,0.4,0.7,0.076,-0.4,-0.6,-1.0,0.1,2021,valende01
440,Jarred Vanderbilt,PF,21,MIN,25,470,17.2,0.616,0.019,0.486,8.9,24.8,16.5,13.7,2.6,3.2,15.8,13.6,0.7,0.7,1.4,0.14,-1.2,1.6,0.4,0.3,2021,vandeja01
441,Fred VanVleet,SG,26,TOR,27,981,18.0,0.5539999999999999,0.524,0.217,2.1,11.1,6.4,27.9,2.2,2.0,10.0,23.5,1.8,0.9,2.8,0.136,2.8,-0.1,2.6,1.2,2021,vanvlfr01
442,Devin Vassell,SF,20,SAS,26,451,12.5,0.529,0.5,0.16699999999999998,3.6,15.8,9.5,8.2,3.1,1.7,8.1,14.0,0.2,0.7,0.9,0.099,-1.7,1.9,0.2,0.3,2021,vassede01
443,Gabe Vincent,PG,24,MIA,17,281,5.6,0.465,0.619,0.15,1.3,6.8,4.2,14.3,1.2,0.4,13.0,22.0,-0.5,0.2,-0.3,-0.047,-5.8,-1.9,-7.7,-0.4,2021,vincega01
444,Noah Vonleh,F,25,BRK,3,8,-20.9,0.0,0.5,0.0,0.0,13.2,7.0,13.9,0.0,0.0,50.0,21.5,-0.1,0.0,-0.1,-0.5329999999999999,-24.1,-9.2,-33.3,-0.1,2021,vonleno01
445,Nikola Vučević,C,30,ORL,28,936,24.1,0.573,0.319,0.139,6.2,30.4,17.8,19.3,1.6,1.6,7.5,28.5,1.9,1.3,3.2,0.163,6.0,0.0,6.1,1.9,2021,vucevni01
446,Dean Wade,PF,24,CLE,23,192,6.1,0.479,0.6729999999999999,0.102,4.5,12.6,8.4,7.2,1.3,0.9,16.3,13.7,-0.1,0.1,0.0,-0.01,-4.1,-1.3,-5.4,-0.2,2021,wadede01
447,Moritz Wagner,C,23,WAS,13,188,16.0,0.672,0.321,0.47200000000000003,3.2,21.4,12.0,10.2,2.2,1.9,11.1,15.8,0.4,0.2,0.6,0.147,-1.0,1.1,0.1,0.1,2021,wagnemo01
448,Kemba Walker,PG,30,BOS,12,333,14.5,0.494,0.478,0.203,2.3,13.7,7.8,22.2,2.1,0.6,11.6,28.8,0.0,0.3,0.3,0.043,0.6,-0.8,-0.2,0.2,2021,walkeke02
449,Lonnie Walker,SG,22,SAS,25,666,8.7,0.509,0.442,0.141,0.8,10.9,5.7,8.8,0.9,1.1,9.0,18.7,-0.3,0.6,0.2,0.018000000000000002,-2.9,-1.7,-4.6,-0.4,2021,walkelo01
450,John Wall,PG,30,HOU,18,555,17.4,0.54,0.348,0.287,1.9,10.9,6.4,34.7,1.4,1.9,15.0,30.1,0.1,0.7,0.8,0.069,2.0,-0.9,1.1,0.4,2021,walljo01
451,Brad Wanamaker,PG,31,GSW,28,455,9.0,0.467,0.386,0.35100000000000003,1.4,9.6,5.6,21.0,2.3,0.8,14.9,14.4,0.0,0.5,0.5,0.055999999999999994,-4.5,0.7,-3.8,-0.2,2021,wanambr01
452,T.J. Warren,SF,27,IND,4,117,12.1,0.56,0.13699999999999998,0.196,1.9,11.2,6.6,6.7,0.8,0.0,6.7,22.0,0.1,0.1,0.1,0.054000000000000006,-3.0,-2.5,-5.5,-0.1,2021,warretj01
453,P.J. Washington,PF,22,CHO,24,691,12.8,0.516,0.342,0.281,6.1,18.4,12.1,14.9,1.5,4.5,15.9,19.0,0.0,0.9,0.9,0.061,-1.9,0.5,-1.4,0.1,2021,washipj01
454,Yuta Watanabe,SF,26,TOR,18,223,11.1,0.514,0.5489999999999999,0.157,7.7,22.1,14.6,4.2,1.9,5.0,12.8,12.0,0.1,0.3,0.4,0.084,-2.0,0.0,-2.0,0.0,2021,watanyu01
455,Tremont Waters,PG,23,BOS,9,90,5.4,0.36,0.444,0.29600000000000004,2.4,7.6,4.9,35.6,2.7,0.0,29.9,20.7,-0.3,0.1,-0.2,-0.091,-4.9,-2.1,-7.0,-0.1,2021,watertr01
456,Paul Watson,SF,26,TOR,13,42,23.0,0.929,0.7859999999999999,0.0,2.5,21.8,11.8,7.7,0.0,4.8,6.7,15.2,0.2,0.0,0.2,0.242,7.2,1.6,8.8,0.1,2021,watsopa01
457,Quinndary Weatherspoon,SG,24,SAS,5,24,-10.1,0.34,0.2,0.4,0.0,8.9,4.3,15.2,2.0,0.0,50.5,21.2,-0.2,0.0,-0.2,-0.31,-18.3,-3.9,-22.2,-0.1,2021,weathqu01
458,Russell Westbrook,PG,32,WAS,18,591,15.0,0.475,0.23399999999999999,0.28,5.1,25.0,14.7,45.8,1.1,0.9,19.1,31.5,-0.8,0.5,-0.3,-0.024,0.4,-1.7,-1.3,0.1,2021,westbru01
459,Coby White,PG,20,CHI,26,880,11.2,0.526,0.489,0.16,1.2,14.0,7.7,22.8,0.5,0.3,14.0,21.7,0.2,0.5,0.7,0.039,-1.4,-2.2,-3.7,-0.4,2021,whiteco01
460,Derrick White,SG,26,SAS,8,189,15.1,0.508,0.512,0.174,0.5,7.3,3.8,24.0,2.0,3.6,7.0,22.6,0.1,0.2,0.3,0.087,0.7,0.8,1.5,0.2,2021,whitede01
461,Hassan Whiteside,C,31,SAC,20,296,22.3,0.617,0.009000000000000001,0.451,11.3,30.6,20.9,4.7,1.0,7.7,12.3,22.3,0.5,0.3,0.8,0.125,-0.2,0.3,0.1,0.2,2021,whiteha01
462,Andrew Wiggins,PF,25,GSW,28,896,14.2,0.5529999999999999,0.35200000000000004,0.239,3.2,11.7,7.6,10.5,1.0,3.7,9.6,23.2,0.2,1.0,1.2,0.066,-0.7,-0.7,-1.4,0.1,2021,wiggian01
463,Grant Williams,PF,22,BOS,23,440,8.4,0.575,0.531,0.302,5.9,12.4,9.0,6.1,1.2,2.1,16.8,12.7,0.2,0.4,0.6,0.065,-3.4,-0.1,-3.5,-0.2,2021,willigr01
464,Kenrich Williams,PF,26,OKC,26,468,14.0,0.601,0.28,0.161,8.5,13.0,10.8,13.7,1.9,0.9,14.8,13.7,0.6,0.5,1.2,0.122,-1.2,0.8,-0.4,0.2,2021,willike04
465,Lou Williams,PG,34,LAC,27,590,17.1,0.537,0.278,0.28600000000000003,2.0,9.7,5.9,26.1,1.8,0.5,11.0,25.9,0.9,0.5,1.4,0.113,0.1,-1.7,-1.6,0.1,2021,willilo02
466,Patrick Williams,PF,19,CHI,25,690,9.2,0.542,0.275,0.265,3.6,14.6,9.2,5.1,1.2,2.2,14.6,16.4,-0.2,0.6,0.4,0.031,-3.5,-1.1,-4.5,-0.4,2021,willipa01
467,Robert Williams,C,23,BOS,19,278,23.5,0.721,0.015,0.324,16.3,23.7,19.9,6.9,3.0,7.3,21.3,15.2,0.7,0.6,1.3,0.21600000000000003,1.2,1.7,3.0,0.4,2021,williro04
468,Zion Williamson,PF,20,NOP,25,818,25.7,0.647,0.034,0.491,8.3,14.6,11.5,15.4,1.4,2.4,11.0,27.6,2.8,0.5,3.3,0.196,4.1,-0.3,3.8,1.2,2021,willizi01
469,D.J. Wilson,PF,24,MIL,10,94,8.1,0.488,0.622,0.054000000000000006,3.5,20.8,12.4,4.0,0.5,2.8,9.6,18.7,-0.1,0.1,0.0,0.019,-3.9,-2.1,-6.0,-0.1,2021,wilsodj01
470,Dylan Windler,SF,24,CLE,15,262,13.5,0.621,0.6459999999999999,0.262,4.5,19.7,11.8,9.9,1.7,2.8,17.1,14.3,0.2,0.3,0.5,0.09,-0.4,0.5,0.0,0.1,2021,windldy01
471,Cassius Winston,PG,22,WAS,6,44,9.9,0.597,0.7,0.2,0.0,9.9,4.8,18.0,0.0,2.0,8.4,11.2,0.1,0.0,0.1,0.087,-2.2,-1.8,-4.0,0.0,2021,winstca01
472,James Wiseman,C,19,GSW,20,419,15.1,0.5479999999999999,0.113,0.313,7.6,22.4,15.2,5.3,0.9,5.5,12.6,25.6,-0.2,0.7,0.5,0.057999999999999996,-3.5,-0.7,-4.1,-0.2,2021,wisemja01
473,Christian Wood,C,25,HOU,17,530,24.2,0.634,0.285,0.24,6.1,28.7,17.3,7.8,1.4,4.2,9.5,26.2,1.0,1.0,2.0,0.18,3.5,0.5,4.0,0.8,2021,woodch01
474,Robert Woodard,SF,21,SAC,6,17,23.0,0.547,0.273,0.182,19.1,32.5,25.8,0.0,0.0,0.0,7.8,32.3,0.0,0.0,0.0,0.009000000000000001,3.9,-5.9,-2.0,0.0,2021,woodaro01
475,Delon Wright,SG,28,DET,27,785,16.8,0.5579999999999999,0.301,0.35200000000000004,4.4,14.0,9.0,25.7,2.3,1.8,11.2,15.7,1.4,0.8,2.2,0.13699999999999998,1.5,1.4,2.8,0.9,2021,wrighde01
476,Thaddeus Young,PF,32,CHI,22,568,18.6,0.61,0.105,0.157,10.3,13.8,12.1,24.5,2.5,1.6,17.7,18.5,1.1,0.7,1.8,0.149,1.0,1.1,2.1,0.6,2021,youngth01
477,Trae Young,PG,22,ATL,25,866,22.3,0.5870000000000001,0.344,0.585,2.2,9.7,6.0,44.5,1.0,0.7,15.7,32.1,2.5,0.4,2.9,0.161,5.5,-1.5,3.9,1.3,2021,youngtr01
478,Cody Zeller,C,28,CHO,15,361,18.2,0.569,0.133,0.242,11.4,24.3,17.7,15.2,1.3,2.5,9.5,17.3,0.8,0.5,1.2,0.161,0.4,0.6,1.0,0.3,2021,zelleco01
479,Ivica Zubac,C,23,LAC,29,564,20.6,0.7240000000000001,0.006999999999999999,0.522,13.6,24.0,18.9,7.5,1.0,3.8,14.8,15.4,2.0,0.8,2.7,0.233,0.7,-0.3,0.4,0.3,2021,zubaciv01
